Id,Word,Pinyin,English,Book,Lesson,Dialog,NW,PN,OofC,Alternates,Grammar Reference,2019-06-16,Song Lyrics,Song YouTube,Song Pinyin,Song Translation,Example Pinyin,Example,Translation,Instagram Image Created
4764,起哄,qǐhòng ,"to heckle, rowdy jeering, to create a disturbance",6,29,1,50,,,,,,,,,,tāmen zài huì shàng duì fāyán zhě qǐhòng,他们在会上对发言者起哄。,They barracked the speaker during the meeting.,
4765,斟酌,zhēnzhuó ,"to consider, to deliberate, to fill up a cup to the brim",6,29,1,51,,,,,,,,,,kě zhēnzhuó jiǎnqīng chéngfá de qíngjié,可斟酌减轻惩罚的情节,mitigating circumstances,
4766,恰当,qiàdàng ,"appropriate, suitable",6,29,1,52,,,,,,,,,,tā zài miàntán zhōng shuō le bù qiàdàng dehuà,他在面谈中说了不恰当的话。,At the interview he made an unfortunate remark.,
4767,焦点,jiāodiǎn ,"focus, focal point",6,29,扩展,,,,,,,这视线被泪水模糊焦点,https://youtu.be/TCHIjWQQpc0?t=119,zhè shìxiàn bèi lèishuǐ móhu jiāodiǎn ,This line of sight was blurred by tears.,zhè yǐngxiàng zài jiāodiǎn shàng,这影像在焦点上。,The image is in focus.,
4768,内幕,nèimù ,"inside story, non-public information",6,29,扩展,,,,,,,,,,,zhè běn shū xiàng dúzhě jiēshì le Yīngguó ānquánjú de nèimù,这本书向读者揭示了英国安全局的内幕。,This book gives readers an inside view of MI5.,
4769,住宅,zhùzhái ,"residence, tenement",6,29,扩展,,,,,,,,,,,nuò lì sī tàitai zhù jìn le báisè zhùzhái,诺利斯太太住进了白色住宅。,Mrs. Norris took possession of the white house.,
4770,相等,xiāngděng ,"equal, equally, equivalent",6,29,扩展,,,,,,,,,,,mǒuxiē chén lì jiāng shòudào xiāngděng de lì,某些尘粒将受到相等的力。,Certain particles will exert equal forces.,
4771,统治,tǒngzhì ,"to rule (a country), to govern, rule",6,29,扩展,,,,,,,,,,,tā shì yī gè qiángyǒulì de tǒngzhìzhě,他是一个强有力的统治者。,He is a potent ruler.,
4772,埋葬,máizàng ,to bury,6,29,扩展,,,,,,,,,,,tāmen jiāng tā máizàng zài fénmù lǐ,他们将他埋葬在坟墓里。,They laid him away in the tomb.,
4773,呕吐,ǒutù ,to vomit,6,29,扩展,,,,,,,,,,,hē tài duō píjiǔ huì shǐ wǒ ǒutù,喝太多啤酒会使我呕吐。,Too much beer makes me vomit.,
4774,时事,shíshì ,"current trends, the present situation",6,29,扩展,,,,,,,,,,,nǐ dé dú bàoyǐ shúxī shíshì,你得读报以熟悉时事。,You should read newspapers to get abreast of what is going on,
4775,示意,shìyì ,"to hint, to indicate (an idea to sb)",6,29,扩展,,,,,,,,,,,tā shìyì nà wèi sījī tíngchē,他示意那位司机停车。,He signaled to the driver to stop the car.,
4776,烘,hōng ,"to bake, to heat by fire",6,29,扩展,,,,,,,,,,,hōng píngguǒ shì tā ài chī de cài,烘苹果是他爱吃的菜。,Baked apples are his favourite dish.,
4777,正当,zhèngdàng ,"timely, just (when needed)",6,29,扩展,,,,,,,,,,,bùzhèngdàng de jīngshāng shǒuduàn,不正当的经商手段,unfair business practices,
4778,贼,zéi ,"thief, traitor, wily, deceitful, evil, extremely",6,29,扩展,,,,,,,,,,,tā jiùshì yī gè zéi,他就是一个贼。,He is no other than a thief.,
4779,腐朽,fǔxiǔ ,"rotten, decayed, decadent",6,29,扩展,,,,,,,,,,,zhè fángzi yǐ fǔxiǔ,这房子已腐朽。,The house is in decay.,
4780,妥善,tuǒshàn ,"appropriate, proper",6,29,扩展,,,,,,,,,,,tuǒshàn lìyòng shíjiān,妥善利用时间,be methodically economical of one's time,
4781,衔接,xiánjiē ,"to join together, to combine",6,29,扩展,,,,,,,,,,,chǎnxiāo xiánjiē zhuàngkuàng,产销衔接状况,The ratio of sales to production,
4782,条约,tiáoyuē ,"treaty, pact",6,29,扩展,,,,,,,,,,,hépíng yǒuhǎo tiáoyuē,和平友好条约,a treaty of peace and amity,
4783,陷阱,xiànjǐng ,"pitfall, snare, trap",6,29,扩展,,,,,,,,,,,yǐ xiànjǐng bǔ tù,以陷阱捕兔,snare a rabbit in a trap,
4784,旋转,xuánzhuǎn ,"to rotate, to revolve, to spin, to whirl",6,29,扩展,,,,,,,,,,,qí xuánzhuǎnmùmǎ,骑旋转木马,ride a merry-go-round,
4785,纲领,gānglǐng ,"program, guiding principle",6,29,扩展,,,,,,,,,,,zhèngzhì gānglǐng,政治纲领,a political programme,
4786,惯例,guànlì ,"convention, usual practice",6,30,1,1,,,,,,,,,,zhèzhǒng guànlì zhídào1896 nián cái qǔxiāo,这种惯例直到1896年才取消。,That rule ended in 1896.,
4787,顽固,wángù ,"stubborn, obstinate",6,30,1,2,,,,,,,,,,tā wángù dé xiàng gēn gǔtou,他顽固得象根骨头。,He is as set as a bone.,
4788,奢侈,shēchǐ ,"luxurious, extravagant",6,30,1,3,,,,,,,,,,tā chuānzhuó shēchǐ,她穿着奢侈。,She is extravagant with clothes.,
4789,指数,zhǐshù ,"(numerical, statistical) index",6,30,1,4,,,,,,,,,,zhǐshù huíshēng,指数回升。,The index is picking up.,
4790,居民,jūmín ,"resident, inhabitant",6,30,1,5,,,,,,,,,,Yìndì'ānrén shì Běiměi zuì zǎo de jūmín,印第安人是北美最早的居民。,The Indians were the original inhabitants of North America.,
4791,当前,dāngqián ,"current, today's, modern, present, to be facing (us)",6,30,1,6,,,,,,,,,,tā zǒu shàngqián qù zuò le guānyú dāngqián xíngshì de bàogào,他走上前去作了关于当前形势的报告。,He stood forth and made a speech on current affairs.,
4792,扰乱,rǎoluàn ,"to disturb, to perturb, to harass",6,30,1,7,,,,,,,,,,tāmen bèi zhǐkòng rǎoluàn gōnggòng zhì'ān,他们被指控扰乱公共治安。,They were charged with disturbing the public peace.,
4793,摧残,cuīcán ,"to ravage, to ruin",6,30,1,8,,,,,,,,,,nàxiē huā wéi fēngyǔ suǒ cuīcán,那些花为风雨所摧残。,Those flowers were buffeted by rain and wind.,
4794,普及,pǔjí ,"popular, to popularize, universal, ubiquitous, pervasive",6,30,1,9,,,,,,,,,,guǎng wéi pǔjí de xìnyǎng,广为普及的信仰,a widely diffused belief,
4795,盛行,shèngxíng ,"to be in vogue, to be prevalent",6,30,1,10,,,,,,,,,,yínyóu shīrén héshí shèngxíng,吟游诗人何时盛行?,When did the troubadours flourish?,
4796,过瘾,guòyǐn ,"to satisfy a craving, to get a kick out of sth, gratifying",6,30,1,11,,,,,,,,,,nǐ kěyǐ chàng de hěn fēng chàng dào nǐ guòyǐn wéizhǐ,你可以唱的很疯，唱到你过瘾为止。,You can get really loopy here and sing to your heart's content.,
