Id,Word,Pinyin,English,Book,Lesson,Dialog,NW,PN,OofC,Alternates,Grammar Reference,2019-06-16,Song Lyrics,Song YouTube,Song Pinyin,Song Translation,Example Pinyin,Example,Translation,Instagram Image Created
1,你,nǐ,(singular) you,1,1,1,1,,,,,,,,,,nǐ jīntiān yǒuxīn sī xuéxí ma,你今天有心思学习吗?,Are you in tune for study today?,
2,好,hǎo,"good, fine",1,1,1,2,,,,,,,,,,yào fāyīn hǎo jiù bìxū zìjué dì xuéxí yǔyīn,要发音好就必须自觉地学习语音。,To have a good pronunciation you have to study phonetics conscientiously.,
3,您,nín,(polite) you,1,1,2,3,,HSK 2,,,,,,,,,,,
4,你们,nǐmen,(plural) you,1,1,2,4,,,,,,,,,,qǐng nǐmen yánjiū yīxià,请你们研究一下。,I hope you will study these questions.,
5,对不起,duìbuqǐ,to be sorry,1,1,3,5,,,,,,,,,,duìbuqǐ wěiqu nǐ le,对不起，委屈你了。,Sorry to have troubled you with all such inconvenience.,
6,没关系,méiguānxi,"that's OK, it doesn't matter",1,1,3,6,,,,,,,,,,nǐ rúguǒ chídào yě méiguānxi,你如果迟到也没关系。,It doesn’t matter if you are late.,
7,谢谢,xièxie,to thank,1,2,1,1,,,,,,,,,,xièxie nǐ péngyou,谢谢你，朋友。,"Thank you, [my] friend.",Yes
8,不,bù,"no, not",1,2,1,2,,,,,,,,,,tā yīdiǎnbù ài zuò jiāwù,她一点不爱做家务。,She is not at all domesticated.,
9,不客气,bùkèqi,"you're welcome, don't mention it",1,2,2,3,,,,,,,,,,bùkèqi,不客气。,You are very welcome.,
10,再见,zàijiàn,good bye (lit. see you again),1,2,3,4,,,,,,,,,,zàijiàn Xiǎolín,再见，小林。,"Good-bye, Xiao Lin.",
11,叫,jiào,"to call, to be called",1,3,1,1,,,,,,,,,,wǒ jiào zhēn nī hěn gāoxìng rènshi nǐ,我叫珍妮，很高兴认识你。,My name is Jenny. Nice to meet you.,Yes
12,什么,shénme,what,1,3,1,2,,,,1.3.1,,,,,,xuéxí yī mén wàiyǔ de zuìjiā tújìng shì shénme ne,学习一门外语的最佳途径是什么呢？,Which is the best way to learn a language?,
13,名字,míngzi,name,1,3,1,3,,,,,,,,,,zhèlǐ méiyǒu rén jiào nàge míngzi,这里没有人叫那个名字。,No one lives here by that name.,
14,我,wǒ,"I, me",1,3,1,4,,,,,,,,,,wǒ xiǎng gēn tā tántán wǒ de xīnshuǐ wèntí,我想跟她谈谈我的薪水问题。,I want to speak to her in the matter of my salary.,
15,是,shì,to be,1,3,2,5,,,,1.3.2,,,,,,nǐ shàngxué shí xué de dōu shì nǎxiē yǔyán,你上学时学的都是哪些语言?,Which languages did you study at school?,
16,老师,lǎoshī,teacher,1,3,2,6,,,,,,,,,,nǐ yào rènzhēn tīngqǔ lǎoshī de yìjiàn,你要认真听取老师的意见。,You should listen carefully to [your] teacher's opinions.,Yes
17,吗,ma,question particle,1,3,2,7,,,,1.3.3,,,,,,nǐ xiàng tā qiúhūn le ma,你向她求婚了吗？,Did you ever pop the question to her.,
18,学生,xuésheng,student,1,3,2,8,,,,,,,,,,kǎoshì bùnéng guòfèn dì cuīcù xuésheng,考试不能过份地催促学生。,The exam should not rush the student unduly.,
19,人,rén,"human, person",1,3,3,9,,,,,,,,,,zhè shì zhuàng shì héyú rén jūzhù de fángzi ma,这是幢适合于人居住的房子吗?,Is it a house fit for human habitation?,
20,美国,Měiguó,USA,1,3,3,,3,,,,,,,,,Měiguó yòngfǎ zài mǒuxiē fāngmiàn yǔ Yīngguó yòngfǎ bùtóng,美国用法在某些方面与英国用法不同。,American usage is different from British usage in some respects.,Yes
21,中国,Zhōngguó,China,1,3,3,,2,,,,,,,,,Zhōngguó dōng lín Tàipíng Yáng,中国东临太平洋。,China faces the Pacific on the east.,
22,她,tā,she,1,4,1,1,,,,,,,,,,yīnwèi tā shēngbìng suǒyǐ tā méi lái shàngbān,因为她生病，所以她没来上班。,"Because she was sick, she did not come to work.",
23,谁,shéi,who,1,4,1,2,,,,1.4.1,,,,,,shéi lái dāng cáipàn,谁来当裁判?,Who is going to umpire?,
24,的,de,attribute particle,1,4,1,3,,,,1.4.2,,,,,,tāmen de xuéxí xiǎozǔ zhèngzài huódòng,他们的学习小组正在活动。,Their study group is in motion.,
25,汉语,Hànyǔ,Chinese (language),1,4,1,4,,,,,,,,,,Hànyǔ yǒu sìshēng,汉语有四声。,Chinese has four tones.,Yes
26,哪,nǎ,which,1,4,2,5,,,,,,,,,,zhè liǎng tào yīfu nǐ xǐhuan nǎ yītào,这两套衣服你喜欢哪一套？,Which of these two suits do you like?,Yes
27,国,guó,country,1,4,2,6,,,,,,,,,,hài guó yāng mín,害国殃民,Harm the nation and the country,
28,呢,ne,question particle,1,4,2,7,,,,1.4.3,,,,,,nǐ zěnyàng tiánxiě nǐ de jiǎnlì ne,你怎样填写你的简历呢？,How do you organize your résumé?,
29,他,tā,"he, him",1,4,3,8,,,,,,,,,,tīngdào tā bìng le wǒ hěn nánguò,听到他病了，我很难过。,I' m sorry to learn of his illness.,
30,同学,tóngxué,classmate,1,4,3,9,,,,,,,,,,wǒ de tóngxué shíbā suì,我的同学十八岁。,My classmate is eighteen.,
31,朋友,péngyou,friend,1,4,3,10,,,,,,,,,,tā zhíjiē dào péngyou nàr qǐngqiú bāngzhù,他直接到朋友那儿请求帮助。,He went straight to his friend to ask for help,
32,家,jiā,family,1,5,1,1,,,,,,,,,,tāmen jiā wǎncān chī kǎo zhūròu,他们家晚餐吃烤猪肉。,The family had roast pork for dinner.,
33,有,yǒu,"to have, there is/are",1,5,1,2,,,,,,,,,,yǒu yībùfèn nánhái xuéxí hěn nǔlì,有一部分男孩学习很努力。,Some of the boys study hard.,
34,口,kǒu,measure word for counting people in a household,1,5,1,3,,HSK 3,,,,,,,,,,,
35,女儿,nǚ'ér,daughter,1,5,2,4,,,,,,,,,,wǒ nǚ'ér kù'ài huáxuě,我女儿酷爱滑雪。,My daughter loved skiing.,
36,几,jǐ,how many,1,5,2,5,,,,1.5.1,,,,,,nǐ zhuō le jǐ tiáo yú,你捉了几条鱼?,How many fish did you catch?,
37,岁,suì,years old,1,5,2,6,,,,,,,,,,nǐ jǐsuì le,你几岁了？,How old are you?,Yes
38,了,le,particle to indicate change,1,5,2,7,,,,1.5.3,,,,,,tāmen zǐxì zhìdìng le xuéxí jìhuà,他们仔细制订了学习计划。,They elaborated a plan of study.,
39,今年,jīnnián,this year,1,5,2,8,,,,,,,,,,wǒ pànwàng jīnnián shǔjià jiàndào nǐ,我盼望今年暑假见到你。,I' m looking forward to seeing you this summer vacation.,
40,多,duō,"how (asking degree, as in 'how old')",1,5,3,9,,,,1.5.4 “多大”,,,,,,tā yǒu duō gāo,他有多高？,How tall is he?,
41,大,dà,old (as in 'how old),1,5,3,10,,,,1.5.4 “多大”,,,,,,nǐ duōdà le,你多大了？?,Could you tell me how old you are?,
42,会,huì,"can, to know how",1,6,1,1,,,,1.6.1,,,,,,tā huì kāichē dàn tā bùhuì dǎzì,他会开车，但他不会打字。,"He can drive, but he can not type.",
43,说,shuō,"to speak, to say",1,6,1,2,,,,,,,,,,hǎo jiǔ néng shǐ rén shuō zhēn huà,好酒能使人说真话。,Good ale will make a cat speak.,
44,妈妈,māma,mother,1,6,1,3,,,,,,,,,,māma yīnwèi tā tiáopí dǎ tā pìgu,妈妈因为她调皮打她屁股。,Mother spanked her for being naughty.,
45,菜,cài,"dish, food",1,6,2,4,,,,,,,,,,zhège cài xià fàn,这个菜下饭。,This dish goes well with rice.,
46,很,hěn,"very, quite",1,6,2,5,,,,1.6.2,,,,,,xué yī mén wàiyǔ bìrán hěn kùnnan,学一门外语必然很困难。,The study of a foreign language is necessarily difficult.,
47,好吃,hǎochī,"delicious, tasty",1,6,2,6,,HSK 2,,,,,,,,,,,
48,做,zuò,to make,1,6,2,7,,,,,,,,,,zuò wùlǐ shíyàn,做物理实验,make experiment in physics,
49,写,xiě,to write,1,6,3,8,,,,,,,,,,wǒ xiǎng xiě xiǎoshuō,我想写小说。,I want to write a novel.,Yes
50,汉字,hànzì,Chinese character,1,6,3,9,,,,,,,,,,tāmen shǒuchuàng yīzhǒng xīn de hànzì shūrùfǎ,他们首创一种新的汉字输入法。,They originated a new way of processing and inputting Chinese data into computers.,
51,字,zì,"character, ideograph",1,6,3,10,,,,,,,,,,“ wáng” zì de bǐhuà yǒu sì gè,“王”字的笔画有四个。,The character王has four strokes.,
52,怎么,zěnme,"how (as in ""how you write"")",1,6,3,11,,,,1.6.3,,,,,,Yīngyǔ de yíwènjù shì zěnme gòuchéng de,英语的疑问句是怎么构成的？,How are questions made in English ?,
53,读,dú,to read,1,6,3,12,,,,,,,,,,tā yī tiān dú jǐ xiǎoshí Yīngwén,她一天读几小时英文？,How many hours a day does she study English?,
54,请,qǐng,please,1,7,1,1,,,,1.10.4,,,,,,qǐng nǐ qiānzì,请你签字。,Please affix your signature.,
55,问,wèn,ask,1,7,1,2,,HSK 2,,,,,,,,,,,
56,今天,jīntiān,today,1,7,1,3,,,,,,,,,,tā jīntiān nàoqíngxù le,他今天闹情绪了。,He is in a bad mood today.,Yes
57,号,hào,-th day (when telling dates),1,7,1,4,,,,1.7.1,,,,,,míngtiān jǐ hào,明天几号?,What date will tomorrow be ?,
58,月,yuè,month,1,7,1,5,,,,1.7.1,,,,,,bǎoxiǎn yǒuxiàoqī háiyǒu yī gè yuè,保险有效期还有一个月。,The insurance runs for another month.,
59,星期,xīngqī,week,1,7,1,6,,,,1.7.1,,,,,,wǒ zhè xīngqī de shíjiān ānpái hěn jǐn,我这星期的时间安排很紧。,"I've got a very busy timetable this week, ie a lot of appointments, etc.",
60,昨天,zuótiān,yesterday,1,7,2,7,,,,,,拼凑不回的昨天,https://youtu.be/TCHIjWQQpc0?t=153,,,wǒ kàn guò zuótiān de bàojià biǎo,我看过昨天的报价表。,I saw yesterday's quote.,
61,明天,míngtiān,tomorrow,1,7,2,8,,,,,,到了明天你就离开我身边,https://youtu.be/TCHIjWQQpc0?t=62,dàoliǎo míngtiān nǐ jiù líkāi wǒ shēnbiān ,You'll leave me tomorrow.,míngtiān fàngjià,明天放假。,Tomorrow will be a holiday.,Yes
62,去,qù,to go,1,7,3,9,,,,1.7.3,,,,,,chūyú wúnài tā cái qù,出于无奈她才去。,She couldn't help but go.,
63,学校,xuéxiào,school,1,7,3,10,,,,,,,,,,tā qīnzì chuàngbàn le yī suǒ péixùn xuéxiào,她亲自创办了一所培训学校。,She started a training school herself.,Yes
64,看,kàn,"to look at, to watch, to read",1,7,3,11,,,,,,,,,,nǐ kàn nàge chāorén qìqiú,你看那个超人气球,Look at that Superman balloon!,
65,书,shū,book,1,7,3,12,,,,,,,,,,qǐng bāngzhù wǒ bǎ wūzi lǐ de shū nálái,请帮助我把屋子里的书拿来。,Bring me the book from the room.,
66,想,xiǎng,to want,1,8,1,1,,,,1.8.1,,,,,,nǐ xiǎng xué shénme,你想学什么？,What do you want to study?,
67,喝,hē,to drink,1,8,1,2,,,,,,,,,,xiàbān hòulái wǒ jiā hē yī bēi,下班后来我家喝一杯。,Come by for a drink after work.,
68,茶,chá,tea,1,8,1,3,,,,,,,,,,wǒ bǐjiàoxǐhuān dàn yīdiǎn de chá,我比较喜欢淡一点的茶。,I like it my tea rather weak.,
69,吃,chī,to eat,1,8,1,4,,,,,,,,,,biékèqi kāishǐ chī ba,别客气，开始吃吧！,Don't be too polite. Start eating!,Yes
70,米饭,mǐfàn,cooked rice,1,8,1,5,,,,,,,,,,wǒ xǐhuan mǐfàn,我喜欢米饭。,I like rice.,
71,下午,xiàwǔ,afternoon,1,8,2,6,,,,,,,,,,xiàwǔ tūrán xià qǐ le Dàxuě,下午突然下起了大雪。,"During the afternoon, there was a sudden heavy fall of snow.",
72,商店,shāngdiàn,"shop, store",1,8,2,7,,,,,,,,,,shāngdiàn wǎnshang12 diǎn guānmén,商店晚上12点关门。,The shop stays open till midnight.,
73,买,mǎi,"to buy, to purchase",1,8,2,8,,,,,,,,,,wǒ yīdìng gěi nǐ mǎi běn Yīngyǔ dúběn,我一定给你买本英语读本。,I'll buy you an English reader by all means.,
74,个,gè,measure word for almost all things,1,8,2,9,,,,1.8.3,,,,,,nǐ yī gè yuè zhìshǎo yīnggāi kàn yī běn shū,你一个月至少应该看一本书。,You should read one book a month at least.,
75,杯子,bēizi,"cup, glass",1,8,2,10,,,,,,,,,,yǒu lièfèng de bēizi,有裂缝的杯子,a cup with a crack in it,
76,这,zhè,this,1,8,3,11,,,,,,,,,,zhè kě zěnmebàn,这可怎么办？,What can we do about it?,Yes
77,多少,duōshao,"how many, how much",1,8,3,12,,,,1.8.2,,,,,,yī xiāng zhuāng duōshao jiàn,一箱装多少件？,How many pieces one container?,
78,钱,qián,money,1,8,3,13,,,,,,,,,,wǒ huì bǎ qián huì gěi nǐ,我会把钱汇给你。,I'll remit you the money.= I'll remit the money to you.,
79,块,kuài,1 RMB / 1 dollar,1,8,3,14,,,,1.8.4,,,,,,tā zài yǒu jǐ kuài qián jiù kěyǐ huánqīng zhàiwù le,他再有几块钱就可以还清债务了。,Just a few dollars more would clear him.,
80,那,nà,that,1,8,3,15,,,,,,,,,,nàshi yī běn lìngrénmǎnyì de shū,那是一本令人满意的书。,That is a satisfying book.,
81,小,xiǎo,"small, little",1,9,1,1,,,,,,,,,,xiǎo yuèlǎnshì,小阅览室,individual study carrel,
82,猫,māo,cat,1,9,1,2,,,,,,,,,,tā bèi nà zhǐ māo bàndǎo le,他被那只猫绊倒了。,He tumbled over the cat.,
83,在,zài,at (expressing locations of things),1,9,1,3,,,,1.9.1,,,,,,diànhuà zài yī lóu de xiǎo shūfáng nèi,电话在一楼的小书房内。,The telephone is in the little study on the ground floor.,
84,那儿,nàr,there,1,9,1,4,,,,,,,,,,nàr jiàoyù hěn fādá,那儿教育很发达。,Education thrives there.,
85,狗,gǒu,dog,1,9,1,5,,,,,,,,,,zài yèjiān tīngdào gǒu jiàoshēng,在夜间听到狗叫声。,The bark of a dog sounded in the night.,
86,椅子,yǐzi,chair,1,9,1,6,,,,,,,,,,cèshēn zuò zài yǐzi shàng,侧身坐在椅子上,sit crosswise in a chair,
87,下面,xiàmian,"under, below",1,9,1,7,,,下,,,,,,,yīnxiāng fàng zài zhuōzi xiàmian,音箱放在桌子下面。,The speaker stood under the table.,
88,在,zài,at (expressing locations of actions),1,9,2,8,,,,1.9.3,,,,,,wǒ zài xuéxiào lǐ xué dòngwùxué,我在学校里学动物学。,I study zoology at school.,
89,哪儿,nǎr,where,1,9,2,9,,,,1.9.2,,,,,,miǎnshuì diàn zàinǎr,免税店在哪儿？,Where's a tax-free shop?,
90,工作,gōngzuò,"job, to work,",1,9,2,10,,,,,,,,,,wǒ zài rìjiān gōngzuò yèjiān dúshū,我在日间工作，夜间读书。,I work by day and study by night.,
91,儿子,érzi,son,1,9,2,11,,,,,,,,,,tā nì'ài zuì xiǎode érzi,她溺爱最小的儿子。,She dotes on her youngest son.,
92,医院,yīyuàn,hospital,1,9,2,12,,,,,,,,,,jiùhùchē jísù xiàng yīyuàn shǐ qù,救护车急速向医院驶去。,The ambulance sped to the hospital.,
93,医生,yīshēng,doctor,1,9,2,13,,,,,,,,,,wǒ de yīshēng quàn wǒ lìjí jièyān,我的医生劝我立即戒烟。,My doctor advised me to give up smoking without delay.,
94,爸爸,bàba,dad,1,9,3,14,,,,,,,,,,hāi  bàba yīqiè dōu hǎo,嗨 ，爸爸。一切都好。,"Hi, Dad. Everything's fine.",
95,桌子,zhuōzi,"desk, table",1,10,1,1,,,,,,,,,,zhè zhāng zhuōzi ràng yùndǒu lào jiāo le,这张桌子让熨斗烙焦了。,The desk was badly charred by an iron.,
96,上,shàng,"up, above",1,10,1,2,,,,,,,,,,bùgàolán shàng tiē le yīxiē hǎibào,布告栏上贴了一些海报。,Posters were pasted up on the bulletin board.,
97,电脑,diànnǎo,computer,1,10,1,3,,,,,,,,,,jīngqiǎo de diànnǎo,精巧的电脑,a sophisticated computer,
98,和,hé,and,1,10,1,4,,,,1.10.2,,,,,,chú Yīngyǔ wài tā hái yào xué Déyǔ hé Fǎyǔ,除英语外，他还要学德语和法语。,"Besides English, he has to study German and French.",
99,本,běn,measure word for books,1,10,1,5,,,,,,,,,,nà běn cídiǎn zài wǒ de shūfáng lǐ,那本词典在我的书房里。,The dictionary is in my study.,
100,里,lǐ,inside,1,10,1,6,,,,,,,,,,tā zhèngzài sùshè lǐ mánglù,她正在宿舍里忙碌。,She is just busy inside the dormitory.,
101,前面,qiánmiàn,front,1,10,2,7,,,,,,,,,,tā bǎ pánzi fàng zài tā qiánmiàn de zhuōzi shàng,她把盘子放在他前面的桌子上。,She put the plate on the table in front of him.,
102,后面,hòumian,back,1,10,2,8,,,,,,,,,,tā bǎ qiú dǎ dào qiúchǎng hòumian qù le,他把球打到球场后面去了。,He dropped the ball to the back of the court.,
103,王方,wáng fāng,"Wang Fang, a personal name",1,10,2,,1,,,,,,,,,,,,
104,谢朋,xiè péng,"Xie Peng, a personal name",1,10,2,,2,,,,,,,,,,,,
105,这儿,zhèr,here,1,10,3,9,,,,,,,,,,zuì chí shí'èr diǎn láidào zhèr,最迟十二点来到这儿。,Come here at twelve o'clock at the latest.,Yes
106,没有,méiyǒu,there is not,1,10,3,10,,,没,,,,,,,nǐ bù nǔlì xuéxí yīn'ér méiyǒu hǎo fēnshù,你不努力学习，因而没有好分数。,"You don't study hard, thence no good mark.",
107,能,néng,to be able to,1,10,3,11,,,,1.10.3,,,,,,tā pànwàng néng zài Yīngguó shēnzào,他盼望能在英国深造。,He be look forward to have advanced study in England .,
108,坐,zuò,to sit,1,10,3,12,,,,,,,,,,tā bùdébù zuò qilai chuǎnqì,他不得不坐起来喘气。,He had to sit up to catch his breath.,
109,现在,xiànzài,now,1,11,1,1,,,,,,,,,,xiànzài nǐmen yào bǔ xué Yīngyǔ,现在你们要补学英语,You're to make-up study on English now.,
110,点,diǎn,o'clock,1,11,1,2,,,,1.11.1,,,,,,2 diǎn zhěng,2 点整。,It's two o' clock sharp.,
111,分,fēn,minute,1,11,1,3,,,,1.11.1,,,,,,shíjiān shì xiàwǔ6 diǎn50 fēn,时间是下午6 点50 分。,The time was 6:50 p.m.,
112,中午,zhōngwǔ,noon,1,11,1,4,,,,,,,,,,jiāngjìn zhōngwǔ shí wǒmen bǎ gōngzuò zuòwán le,将近中午时我们把工作做完了。,We were through with the work towards noon.,
113,吃饭,chīfàn,to eat a meal,1,11,1,5,,,,,,,,,,jīntiān wǒmen qù nǎlǐ chīfàn,今天我们去哪里吃饭?,Where shall we eat today?,
114,时候,shíhou,"time, moment",1,11,2,6,,,,,,,,,,wǒ hěn bàoqiàn zài zhège shíhou dǎrǎo nǐ,我很抱歉在这个时候打扰你。,I'm sorry to obtrude on you at such a time.,
115,回,huí,to go back,1,11,2,7,,,,,,,,,,wǒ huì gōngzuò sān nián ránhòu zài huí xuéxiào,我会工作三年然后再回学校。,I will work for three years and then go back to school.,Yes
116,我们,wǒmen,"we, us",1,11,2,8,,,,,,,,,,wǒmen zǔzhī le yī gè xuéxí xiǎozǔ,我们组织了一个学习小组。,We formed a study group.,
117,电影,diànyǐng,movie,1,11,2,9,,,,,,,,,,jīnwǎn yào fāxíng yī bù xīn diànyǐng,今晚要发行一部新电影。,A new movie is to be released tonight.,
118,住,zhù,to live (at),1,11,3,10,,,,,,,,,,wǒ zhù shàngmian de tàojiān,我住上面的套间。,I live in the flat above.,
119,前,qián,before,1,11,3,11,,,,1.11.3,,,,,,fēijī qǐfēi qián wùbì xì hǎo ānquándài,飞机起飞前务必系好安全带。,Make sure you are firm1y strapped in before the plane takes off.,
120,北京,Běijīng,Beijing,1,11,3,,1,,,,,,,,,wǒguó shǒudū shì Běijīng,我国首都是北京。,The capital of our country is Beijing.,Yes
121,天气,tiānqì,weather,1,12,1,1,,,,,,,,,,Èryuè xià bànyuè tiānqì yuèláiyuè lěng,二月下半月天气越来越冷。,During the last weeks of February the severity of the weather increased.,
122,怎么样,zěnmeyàng,how is,1,12,1,2,,,,1.12.1,,,,,,nǐ gōngzuò qíngkuàng zěnmeyàng,你工作情况怎么样？,How's your work going?,
123,太,tài,"too, excessively",1,12,1,3,,,太……了,1.12.3,,,,,,dàn tā zhēn de bù tài xiǎng xuéxí,但他真的不太想学习。,but he didn't really want to study.,
124,热,rè,hot,1,12,1,4,,,,,,,,,,wǒ bù shìhé zhù zài Fúluólǐdá nàli tài rè le,我不适合住在佛罗里达。那里太热了。,I wasn't cut out for living in Florida. It was too hot.,
125,冷,lěng,cold,1,12,1,5,,,,,,,,,,xiàtiān bù rè dōngtiān bù lěng,夏天不热，冬天不冷。,"It is neither hot in summer, nor cold in winter.",
126,下雨,xiàyǔ,to rain,1,12,2,6,,,,,,,,,,jīntiān xiàwǔ hěn kěnéng yào xiàyǔ,今天下午很可能要下雨。,"It'll rain this afternoon, as like as not.",
127,小姐,xiǎojie,"miss, young lady",1,12,2,7,,,,,,,,,,kěyǐ qǐng tán xiǎojie tīng diànhuà ma,可以请谭小姐听电话吗？,"May I speak to Miss Tan, please?",
128,来,lái,to come,1,12,2,8,,,,,,,,,,jiētóu yìrén yě dào zhèr lái mài chàng,街头艺人也到这儿来卖唱。,Ballad-singers come and chant here.,
129,雨,yǔ,rain,1,12,2,,,,,,,,,,,yún yùshì yǒu yǔ,云预示有雨。,The clouds threaten rain.,
130,下,xià,to fall,1,12,2,,,,,,,,,,,xià Dàxuě,下大雪,a heavy fall of snow,
131,身体,shēntǐ,body,1,12,3,9,,HSK 2,,,,,,,,,,,
132,爱,ài,"to like, to love",1,12,3,10,,,,,,爱还留在我房间,https://youtu.be/TCHIjWQQpc0?t=100,ài hái liú zài wǒ fángjiān ,Love is still in my room,wǒ ài dú Lǔ Xùn de fěngcì záwén,我爱读鲁迅的讽刺杂文。,I like Lu Xun's satirical essays.,
133,些,xiē,"measure word, some, a few",1,12,3,11,,,,,,,,,,xiǎngkāi xiē dàotóulái zǒng huì hǎo de,想开些，到头来总会好的。,Cheer up. It'll all come right in the end.,
134,水果,shuǐguǒ,fruit,1,12,3,12,,,,,,,,,,zhè shì shuǐguǒ dànjì,这是水果淡季。,It is an off season for fruit.,
135,水,shuǐ,water,1,12,3,13,,,,,,,,,,bǎ shǒuzhǐ shēn jìn Shuǐlǐ kàn yǒu duō rè,把手指伸进水里看有多热。,Put your finger in the water to see how hot it is.,Yes
136,喂,wèi,"hello, hey",1,13,1,1,,,,1.13.1,,,,,,wèi yǒurén ma,喂！有人吗？,Hello ! Is anybody there ?,
137,也,yě,"also, too",1,13,1,2,,HSK 2,,,,,,,,,,,
138,学习,xuéxí,"to study, to learn",1,13,1,3,,,学,,,,,,,zhè jǐge nǚhái shàncháng xuéxí yǔyán,这几个女孩擅长学习语言。,These girls are good at learning languages.,Yes
139,大卫,Dàwèi,David,1,13,1,,1,,,,,,,,,wǒmen gěi zhè yīng'ér qǔmíng Dàwèi,我们给这婴儿取名大卫。,We' ll call the baby David.,
140,上午,shàngwǔ,"morning, before noon",1,13,2,4,,,,,,,,,,jīntiān shàngwǔ yǒu yóujiàn ma,今天上午有邮件吗?,Is there any mail this morning?,
141,睡觉,shuìjiào,to sleep,1,13,2,5,,,,,,一觉睡到自然醒过来,https://youtu.be/jUb1XQzNiCI?t=56,,,nǐ shuìjiào shuō mènghuà ma,你睡觉说梦话吗?,Do you ever talk in your sleep?,
142,电视,diànshì,television,1,13,2,6,,,,,,,,,,diànshìjī hái wèinéng qǔdài shōuyīnjī,电视机还未能取代收音机。,Television has not yet replaced radio.,Yes
143,喜欢,xǐhuan,to like,1,13,2,7,,,,,,,,,,hǎiguī xǐhuan pù yú yángguāng zhōng,海龟喜欢曝于阳光中。,Turtles like to bask in the sun.,
144,给,gěi,to someone,1,13,3,8,,HSK 2,,,,,,,,,,,
145,打电话,dǎdiànhuà,to make a phone call,1,13,3,9,,,,,,,,,,wǒ wúfǎ dǎdiànhuà wǒmen de diànhuà huàile,我无法打电话，我们的电话坏了。,"I can't make a call, as our phone is out of order.",
146,吧,ba,particle for suggestion,1,13,3,10,,HSK 2,,1.13.4,,,,,,,,,
147,东西,dōngxi,"thing, stuff",1,14,1,1,,,,,,,,,,tā bùxiǎng chī shénme dōngxi,他不想吃什么东西。,He unexpectedly eats any thing.,
148,一点儿,yīdiǎnr,"a few, a little",1,14,1,2,,,,,,,,,,tā yīdiǎnr yě bù hútu,他一点儿也不糊涂。,He was not all confused.,
149,苹果,píngguǒ,an apple,1,14,1,3,,,,,,,,,,qǐng nín gěi wǒ yī gè píngguǒ hǎo ma,请您给我一个苹果好吗？,"Will you give me an apple, please?",
150,看见,kànjiàn,to see,1,14,2,4,,,,,,,,,,qiánjǐtiān wǒ zài zhǎnlǎnhuì shàng kànjiàn le tā,前几天我在展览会上看见了她。,I saw her at the exhibition the other day.,Yes
151,先生,xiānsheng,"Mr, sir",1,14,2,5,,,,,,,,,,kǎnóng xiānsheng jīngyíng píhuò,卡农先生经营皮货。,Mr. Canon trades in furs.,
152,开,kāi,to drive,1,14,2,6,,,,,,,,,,kāichē qǐng zhùyì ānquán wǒ bìngbù gǎn shíjiān,开车请注意安全。我并不赶时间。,Please drive safely．I'm not in a hurry．,
153,车,chē,"car, vehicle",1,14,2,7,,,,,,,,,,wǒ tíxǐng guò nǐ bùyào mǎi nà liàng jiù chē,我提醒过你不要买那辆旧车。,I warned you not to buy that old car.,
154,回来,huílai,to come back,1,14,2,8,,,,,,,,,,wǒ gāng cóng Niǔyuē huílai,我刚从纽约回来。,I've just come back from New York.,
155,分钟,fēnzhōng,minute,1,14,2,9,,,,,,,,,,tā xiàng chuāng wài kàn le jǐ fēnzhōng,他向窗外看了几分钟。,He look out of the window for a few minute.,
156,后,hòu,"after, afterwards, later",1,14,2,10,,,,1.14.2,,,,,,zuòwán zuòyè hòu tā kāishǐ kàn diànshì,做完作业后，她开始看电视。,"After has been done the school assignment, she begins to see television.",
157,张,zhāng,Zhang,1,14,2,,1,,,,,,,,,zhāng xiānsheng yǒu yī gè dà bāo,张先生有一个大包。,Mr Zhang has a large bag.,
158,衣服,yīfu,clothes,1,14,3,11,,,,,,,,,,tā bǎ yīfu dāpèi dehěn hǎo,她把衣服搭配得很好。,She coordinates her clothes well.,
159,漂亮,piàoliang,"beautiful, pretty",1,14,3,12,,,,,,,,,,Wēinísī yǐ piàoliang de jiànzhùwù wénmíng,威尼斯以漂亮的建筑物闻名。,Venice is celebrated for its beautiful buildings.,
160,啊,ā,particle,1,14,3,13,,HSK 3,,1.14.3,,,,,,,,,
161,少,shǎo,"little, few",1,14,3,14,,,不少,,,,,,,jīng de dírén hěn shǎo,鲸的敌人很少。,Whales have few enemies.,Yes
162,这些,zhèxiē,these,1,14,3,15,,,,,,,,,,wǒmen shāohòu huì xiángxì tǎolùn zhèxiē wèntí,我们稍后会详细讨论这些问题。,We’ll discuss some of these issues in detail a bit later.,
163,都,dōu,"both, all",1,14,3,16,,,,1.14.4,,,,,,měiyī gè xuésheng dōu yǒu jīhuì xuéxí,每一个学生都有机会学习。,Every student has an opportunity to study.,
164,认识,rènshi,"to meet, to know someone",1,15,1,1,,,,,,,,,,nǐ hěn yǒukěnéng huì rènshi yī gè hǎopéngyou,你很有可能会认识一个好朋友。,It is in the cards that you are going to meet a good friend.,
165,年,nián,year,1,15,1,2,,,,1.15.2,,,,,,nàr de nián jiàngyǔliàng píngjūn měinián wéi sān bǎi háomǐ,那儿的年降雨量平均每年为三百毫米。,The rainfall there averages 300 mm a year.,
